youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage
2017年07月27日(木),92631267,あぶり焼きチキン,25,8577,16,,,,,,,,,,2,796,0,,,,1,398,0,1,398,0,3,1194,0,7,2586,5,4,1432,4,2,541,2,3,834,3,2,398,2,,,,,,
2017年07月28日(金),92631267,あぶり焼きチキン,23,7791,7,,,,,,,3,926,0,1,298,0,,,,1,188,0,2,848,0,8,2810,0,3,1313,2,4,1200,4,,,,1,208,1,,,,,,,,,
2017年07月29日(土),92631267,あぶり焼きチキン,36,10060,18,,,,,,,,,,4,862,0,1,298,0,4,1364,0,2,768,0,7,2994,0,2,437,2,6,1410,6,5,946,5,3,624,3,2,357,2,,,,,,
2017年07月30日(日),92631267,あぶり焼きチキン,51,15420,19,3,564,0,3,784,0,7,2602,0,2,486,0,5,1662,0,1,580,0,4,972,0,1,298,0,12,3553,6,1,268,1,4,1580,4,1,464,1,7,1607,7,,,,,,
2017年07月31日(月),92631267,あぶり焼きチキン,25,7042,14,,,,,,,1,188,0,1,188,0,,,,1,298,0,4,1144,0,3,956,0,3,724,2,7,2384,7,2,536,2,3,624,3,,,,,,,,,
2017年08月01日(火),92631267,あぶり焼きチキン,52,12376,30,1,298,0,4,862,0,3,674,0,1,580,0,1,188,0,3,956,0,1,298,0,2,486,0,5,1320,2,3,864,1,8,2394,8,3,942,2,6,837,6,10,1583,10,1,94,1
2017年08月02日(水),92631267,あぶり焼きチキン,39,11669,16,2,878,0,1,298,0,2,878,0,3,894,0,3,784,0,3,784,0,2,376,0,4,1646,0,3,1458,0,3,1058,3,2,407,2,4,845,4,4,667,4,3,696,3,,,
2017年08月03日(木),92631267,あぶり焼きチキン,31,10541,15,,,,,,,2,796,0,3,1194,0,1,398,0,,,,3,1194,0,1,398,0,6,2178,0,4,1432,4,6,1748,6,3,834,3,2,369,2,,,,,,
2017年08月04日(金),92631267,あぶり焼きチキン,40,9824,20,3,784,0,2,486,0,1,298,0,2,486,0,2,738,0,3,784,0,1,188,0,1,298,0,5,2136,0,4,1072,4,3,685,3,5,732,5,5,690,5,3,447,3,,,
2017年08月05日(土),92631267,あぶり焼きチキン,37,11319,10,2,486,0,3,784,0,2,376,0,3,1458,0,5,1270,0,2,768,0,,,,8,2618,0,2,376,0,3,959,3,3,1312,3,2,614,2,2,298,2,,,,,,
2017年08月06日(日),92631267,あぶり焼きチキン,53,15131,19,2,768,0,4,972,0,8,2164,0,2,596,0,2,878,0,3,1176,0,4,1144,0,5,1944,0,4,1364,0,8,2355,8,4,776,4,2,262,2,5,732,5,,,,,,
2017年08月07日(月),92631267,あぶり焼きチキン,25,6075,14,2,376,0,1,188,0,3,1176,0,,,,,,,1,188,0,3,784,0,1,298,0,3,507,3,6,1311,6,2,377,2,,,,2,580,2,1,290,1,,,
2017年08月08日(火),92631267,あぶり焼きチキン,27,7524,9,,,,1,188,0,3,564,0,1,298,0,2,486,0,,,,7,2430,0,3,1066,0,2,820,1,5,1142,5,1,268,1,2,262,2,,,,,,,,,
2017年08月09日(水),92631267,あぶり焼きチキン,24,6110,10,,,,,,,6,1458,0,1,298,0,1,580,0,1,188,0,4,1364,0,,,,2,357,1,1,268,1,,,,4,755,4,4,842,4,,,,,,
2017年08月10日(木),92631267,あぶり焼きチキン,34,9289,18,,,,3,1066,0,2,768,0,1,298,0,1,188,0,2,596,0,,,,4,1474,0,3,784,0,5,1749,5,8,1711,8,4,524,4,1,131,1,,,,,,
2017年08月11日(金),92631267,あぶり焼きチキン,54,17250,21,,,,2,596,0,1,298,0,5,2336,0,4,2038,0,2,596,0,5,1944,0,2,878,0,7,2090,1,4,1364,0,3,1118,1,5,1095,5,6,1058,6,8,1839,8,,,
2017年08月12日(土),92631267,あぶり焼きチキン,36,11285,14,,,,2,486,0,2,486,0,3,1458,0,3,1066,0,,,,3,1066,0,7,2320,0,3,1036,1,4,1580,4,6,1329,6,2,339,2,1,119,1,,,,,,
2017年08月13日(日),92631267,あぶり焼きチキン,74,34372,17,3,1858,0,8,4476,0,8,3348,0,4,1874,0,4,1424,0,6,3034,0,9,5010,0,8,3912,0,6,2352,0,9,2950,8,5,2262,5,3,1284,3,1,588,1,,,,,,
2017年08月14日(月),92631267,あぶり焼きチキン,47,19185,19,1,980,0,1,580,0,4,2156,0,2,878,0,,,,7,2086,0,5,2336,0,4,1756,0,3,1858,0,6,2174,5,4,1580,4,1,208,1,2,894,2,6,1610,6,,,
2017年08月15日(火),92631267,あぶり焼きチキン,33,7763,21,3,564,0,2,768,0,,,,,,,2,596,0,5,2226,0,,,,,,,1,169,1,3,959,3,2,338,2,3,470,3,8,1150,8,4,523,4,,,
2017年08月16日(水),92631267,あぶり焼きチキン,13,3493,7,,,,,,,1,188,0,,,,,,,1,298,0,2,596,0,,,,1,188,0,3,1088,2,1,131,1,3,714,3,1,290,1,,,,,,
2017年08月17日(木),92631267,あぶり焼きチキン,25,8274,14,,,,2,796,0,,,,1,398,0,2,796,0,1,398,0,1,398,0,1,398,0,2,756,1,5,1870,3,3,834,3,2,556,2,3,597,3,2,477,2,,,
2017年08月18日(金),92631267,あぶり焼きチキン,11,2505,4,,,,,,,2,596,0,,,,1,188,0,1,298,0,2,596,0,,,,1,188,0,1,169,1,3,470,3,,,,,,,,,,,,
2017年08月19日(土),92631267,あぶり焼きチキン,16,3133,10,,,,,,,2,596,0,1,298,0,,,,1,188,0,1,298,0,,,,1,188,0,3,507,3,3,645,3,1,131,1,3,282,3,,,,,,
2017年08月20日(日),92631267,あぶり焼きチキン,11,2570,6,,,,,,,2,376,0,,,,,,,,,,,,,1,188,0,4,1013,2,1,169,1,1,268,1,,,,2,556,2,,,,,,
2017年08月21日(月),92631267,あぶり焼きチキン,26,6728,12,,,,,,,2,486,0,,,,4,1082,0,1,188,0,,,,1,298,0,3,784,0,3,1066,0,5,1396,5,5,732,5,2,696,2,,,,,,
2017年08月22日(火),92631267,あぶり焼きチキン,19,4232,12,,,,2,376,0,1,188,0,1,188,0,3,984,0,,,,,,,,,,3,696,3,,,,2,716,2,1,131,1,3,356,3,3,597,3,,,
2017年08月23日(水),92631267,あぶり焼きチキン,10,2400,1,,,,,,,6,1458,0,1,188,0,1,188,0,,,,,,,1,298,0,,,,1,268,1,,,,,,,,,,,,,,,
2017年08月24日(木),92631267,あぶり焼きチキン,9,3263,2,,,,1,398,0,4,1592,0,2,796,0,,,,,,,,,,,,,,,,,,,1,278,1,,,,1,199,1,,,,,,
2017年08月25日(金),92631267,あぶり焼きチキン,10,2660,6,,,,,,,2,376,0,1,188,0,,,,1,188,0,,,,,,,,,,2,716,2,2,636,2,1,278,1,1,278,1,,,,,,
2017年08月26日(土),92631267,あぶり焼きチキン,12,3093,7,,,,,,,,,,,,,1,298,0,,,,2,376,0,1,298,0,1,188,0,2,437,2,5,1496,5,,,,,,,,,,,,
2017年08月27日(日),92631267,あぶり焼きチキン,14,2826,8,,,,,,,,,,,,,2,486,0,2,596,0,,,,1,298,0,1,298,0,1,268,1,,,,3,393,3,4,487,4,,,,,,
2017年08月28日(月),92631267,あぶり焼きチキン,12,2633,8,,,,,,,2,486,0,,,,,,,1,298,0,,,,1,298,0,3,507,3,1,169,1,4,875,4,,,,,,,,,,,,
2017年08月29日(火),92631267,あぶり焼きチキン,13,3457,7,,,,,,,3,1380,0,1,280,0,,,,,,,1,188,0,1,188,0,2,504,2,3,590,3,1,196,1,1,131,1,,,,,,,,,
2017年08月30日(水),92631267,あぶり焼きチキン,103,30412,23,2,560,0,5,1564,0,10,2704,0,15,4904,0,13,3650,0,11,3360,0,6,2008,0,11,3948,0,12,3910,6,8,1564,7,9,2044,9,1,196,1,,,,,,,,,
2017年08月31日(木),92631267,あぶり焼きチキン,9,3354,1,,,,,,,,,,2,796,0,1,398,0,,,,4,1592,0,1,398,0,,,,,,,,,,,,,1,170,1,,,,,,
2017年09月01日(金),92631267,あぶり焼きチキン,20,4578,6,,,,,,,5,1242,0,3,646,0,,,,2,472,0,1,188,0,3,894,0,,,,2,437,2,2,437,2,2,262,2,,,,,,,,,
2017年09月02日(土),92631267,あぶり焼きチキン,44,16258,2,,,,1,550,0,1,280,0,8,2780,0,4,1660,0,6,2220,0,5,1670,0,9,4410,0,7,1960,0,1,280,0,1,252,1,1,196,1,,,,,,,,,
2017年09月03日(日),92631267,あぶり焼きチキン,10,2272,3,,,,,,,,,,,,,,,,,,,,,,2,376,0,4,972,0,,,,2,448,1,2,476,2,,,,,,,,,
2017年09月04日(月),92631267,あぶり焼きチキン,20,4892,9,,,,,,,4,1082,0,,,,3,894,0,2,376,0,1,298,0,,,,1,188,0,,,,4,1042,4,3,714,3,2,298,2,,,,,,
2017年09月05日(火),92631267,あぶり焼きチキン,9,2056,2,,,,1,298,0,,,,,,,1,298,0,,,,,,,,,,4,972,0,1,188,0,,,,2,300,2,,,,,,,,,
2017年09月06日(水),92631267,あぶり焼きチキン,15,3920,0,,,,1,298,0,2,596,0,2,596,0,,,,4,1082,0,4,972,0,,,,1,188,0,1,188,0,,,,,,,,,,,,,,,
2017年09月07日(木),92631267,あぶり焼きチキン,20,6508,7,,,,1,398,0,2,796,0,1,398,0,2,796,0,,,,,,,1,398,0,2,796,0,2,796,0,2,738,0,1,318,1,2,398,2,4,676,4,,,
2017年09月08日(金),92631267,あぶり焼きチキン,10,2234,4,,,,,,,,,,1,298,0,1,188,0,,,,,,,1,188,0,1,298,0,,,,2,486,0,3,538,3,1,238,1,,,,,,
2017年09月09日(土),92631267,あぶり焼きチキン,50,12604,20,,,,,,,,,,1,280,0,7,1500,0,2,738,0,4,1120,0,9,3508,0,3,1380,0,4,1206,0,5,824,5,2,374,2,13,1674,13,,,,,,
2017年09月10日(日),92631267,あぶり焼きチキン,68,19620,13,4,936,0,3,1018,0,4,1206,0,7,2316,0,2,560,0,1,280,0,11,3166,0,5,1848,0,10,3248,0,7,2316,0,4,1074,3,3,672,3,6,840,6,1,140,1,,,
2017年09月11日(月),92631267,あぶり焼きチキン,24,6410,7,1,188,0,1,188,0,2,468,0,2,468,0,,,,2,468,0,1,550,0,2,830,0,1,280,0,5,1848,0,,,,,,,7,1122,7,,,,,,
2017年09月12日(火),92631267,あぶり焼きチキン,33,6347,10,,,,1,280,0,1,280,0,,,,,,,1,188,0,5,1216,0,3,748,0,3,564,0,4,844,0,5,1032,0,2,300,2,5,651,5,3,244,3,,,
2017年09月13日(水),92631267,あぶり焼きチキン,44,13282,8,,,,3,1458,0,6,1348,0,1,188,0,2,486,0,3,1176,0,3,674,0,2,878,0,8,3010,0,5,1662,0,6,1300,3,5,1102,5,,,,,,,,,
2017年09月14日(木),92631267,あぶり焼きチキン,23,7242,12,,,,1,398,0,1,398,0,,,,1,398,0,,,,,,,2,796,0,1,398,0,5,1990,0,3,954,3,1,318,1,8,1592,8,,,,,,
2017年09月15日(金),92631267,あぶり焼きチキン,10,2430,0,,,,,,,1,188,0,1,188,0,1,298,0,1,298,0,1,188,0,,,,2,486,0,2,486,0,1,298,0,,,,,,,,,,,,
2017年09月16日(土),92631267,あぶり焼きチキン,10,2430,0,,,,,,,2,486,0,,,,,,,1,188,0,,,,3,674,0,1,188,0,,,,3,894,0,,,,,,,,,,,,
2017年09月17日(日),92631267,あぶり焼きチキン,17,3608,5,,,,,,,1,298,0,2,596,0,1,298,0,2,596,0,1,188,0,2,486,0,1,188,0,1,188,0,1,188,0,1,150,1,4,432,4,,,,,,
2017年09月18日(月),92631267,あぶり焼きチキン,11,2519,2,,,,,,,,,,1,298,0,1,298,0,,,,,,,2,376,0,3,564,0,2,596,0,1,238,1,,,,1,149,1,,,,,,
2017年09月19日(火),92631267,あぶり焼きチキン,28,7624,3,,,,2,768,0,2,768,0,1,298,0,,,,2,486,0,,,,2,376,0,7,2156,0,7,1946,0,4,676,2,1,150,1,,,,,,,,,
2017年09月20日(水),92631267,あぶり焼きチキン,53,12797,20,,,,2,376,0,4,1192,0,6,1458,0,2,486,0,4,862,0,2,596,0,4,1756,0,2,486,0,4,1192,0,4,1248,1,3,852,3,8,1376,8,8,917,8,,,
2017年09月21日(木),92631267,あぶり焼きチキン,38,9694,9,1,280,0,,,,1,280,0,1,280,0,2,560,0,3,840,0,2,560,0,6,1680,0,4,1120,0,5,1400,0,5,1238,1,4,896,4,2,280,2,2,280,2,,,
2017年09月22日(金),92631267,あぶり焼きチキン,13,2684,7,,,,,,,2,486,0,2,486,0,,,,,,,,,,,,,2,486,0,,,,3,538,3,3,538,3,1,150,1,,,,,,
2017年09月23日(土),92631267,あぶり焼きチキン,40,11085,14,4,1082,0,2,596,0,,,,6,1458,0,,,,2,596,0,3,1176,0,2,1160,0,3,564,0,3,1458,0,3,1000,2,4,776,4,6,981,6,2,238,2,,,
2017年09月24日(日),92631267,あぶり焼きチキン,13,2918,2,,,,,,,2,486,0,2,596,0,,,,2,376,0,3,674,0,,,,1,298,0,,,,3,488,2,,,,,,,,,,,,
2017年09月25日(月),92631267,あぶり焼きチキン,43,11001,11,,,,4,1254,0,,,,1,188,0,3,1176,0,2,486,0,3,674,0,5,1270,0,7,2038,0,5,1552,0,3,526,1,2,614,2,6,925,6,2,298,2,,,
2017年09月26日(火),92631267,あぶり焼きチキン,39,8253,19,,,,1,188,0,1,298,0,,,,2,376,0,1,188,0,3,784,0,3,956,0,4,972,0,5,940,0,5,1014,5,3,714,3,7,1077,7,3,456,3,,,
2017年09月27日(水),92631267,あぶり焼きチキン,12,2572,5,,,,,,,1,298,0,1,188,0,,,,,,,1,188,0,1,188,0,1,188,0,2,596,0,4,776,4,1,150,1,,,,,,,,,
2017年09月28日(木),92631267,あぶり焼きチキン,19,6352,6,,,,,,,,,,1,398,0,1,398,0,2,498,0,1,398,0,1,398,0,1,398,0,6,2194,0,2,636,2,2,636,2,2,398,2,,,,,,
2017年09月29日(金),92631267,あぶり焼きチキン,10,2250,3,,,,,,,,,,1,188,0,,,,,,,1,188,0,2,486,0,2,376,0,1,298,0,,,,3,714,3,,,,,,,,,
2017年09月30日(土),92631267,あぶり焼きチキン,14,3244,7,,,,,,,,,,,,,,,,,,,2,486,0,1,188,0,1,298,0,3,784,0,1,238,1,4,952,4,2,298,2,,,,,,
2017年10月01日(日),92631267,あぶり焼きチキン,39,11508,9,,,,3,784,0,2,376,0,7,1756,0,3,784,0,4,1928,0,4,1082,0,3,894,0,2,596,0,1,298,0,2,448,1,4,1228,4,3,1044,3,1,290,1,,,
2017年10月02日(月),92631267,あぶり焼きチキン,32,8694,13,,,,2,486,0,1,188,0,1,580,0,2,586,0,,,,6,2332,0,1,188,0,2,768,0,2,586,0,4,1064,2,1,150,1,9,1567,9,1,199,1,,,
2017年10月03日(火),92631267,あぶり焼きチキン,25,6084,6,,,,1,188,0,1,298,0,1,188,0,1,188,0,3,674,0,3,784,0,1,188,0,1,298,0,4,1144,0,6,1322,3,,,,2,580,2,1,232,1,,,
2017年10月04日(水),92631267,あぶり焼きチキン,35,8916,9,,,,,,,2,376,0,3,674,0,,,,5,1380,0,3,564,0,5,1270,0,2,878,0,4,1254,0,3,834,1,5,1064,5,2,528,2,1,94,1,,,
2017年10月05日(木),92631267,あぶり焼きチキン,19,6424,5,,,,,,,1,398,0,1,398,0,,,,,,,2,796,0,2,796,0,2,796,0,5,1990,0,1,136,0,,,,5,1114,5,,,,,,
2017年10月06日(金),92631267,あぶり焼きチキン,10,2085,5,,,,,,,,,,1,298,0,,,,,,,,,,2,376,0,1,188,0,1,298,0,1,150,1,3,626,3,1,149,1,,,,,,
2017年10月07日(土),92631267,あぶり焼きチキン,46,13484,4,1,188,0,4,1028,0,,,,1,188,0,3,926,0,3,1110,0,10,2610,0,3,1288,0,12,4348,0,5,1124,0,1,150,1,2,374,2,1,150,1,,,,,,
2017年10月08日(日),92631267,あぶり焼きチキン,11,2581,2,,,,2,596,0,1,298,0,2,486,0,,,,,,,1,188,0,,,,,,,1,298,0,3,507,1,1,208,1,,,,,,,,,
2017年10月09日(月),92631267,あぶり焼きチキン,10,2370,1,,,,,,,1,188,0,1,188,0,1,298,0,1,298,0,1,188,0,4,972,0,,,,,,,,,,,,,1,238,1,,,,,,
2017年10月10日(火),92631267,あぶり焼きチキン,31,8507,7,,,,1,188,0,,,,1,580,0,3,564,0,5,1552,0,2,768,0,3,564,0,6,1458,0,3,1066,0,2,476,2,2,388,2,3,903,3,,,,,,
2017年10月11日(水),92631267,あぶり焼きチキン,22,4038,9,,,,1,298,0,2,486,0,2,376,0,1,188,0,,,,,,,1,188,0,,,,5,1160,0,1,298,0,1,238,1,1,149,1,5,463,5,2,194,2
2017年10月12日(木),92631267,あぶり焼きチキン,10,2029,5,,,,1,188,0,1,188,0,,,,,,,,,,,,,,,,1,188,0,1,298,0,2,536,1,2,388,2,2,243,2,,,,,,
2017年10月13日(金),92631267,あぶり焼きチキン,31,10641,14,,,,,,,,,,4,1592,0,1,398,0,,,,5,1990,0,,,,1,398,0,6,2388,0,2,535,2,6,1908,6,6,1432,6,,,,,,
2017年10月14日(土),92631267,あぶり焼きチキン,29,8230,7,1,298,0,2,486,0,2,376,0,1,188,0,1,580,0,2,486,0,4,862,0,1,298,0,5,2336,0,2,376,0,5,1356,4,,,,2,439,2,1,149,1,,,
2017年10月15日(日),92631267,あぶり焼きチキン,18,4398,4,,,,,,,,,,2,596,0,3,894,0,,,,1,298,0,2,486,0,1,298,0,3,674,0,2,376,0,4,776,4,,,,,,,,,
2017年10月16日(月),92631267,あぶり焼きチキン,28,8079,7,,,,1,298,0,1,298,0,2,596,0,3,956,0,2,1160,0,2,486,0,3,674,0,2,376,0,4,1474,0,5,1226,4,2,460,2,,,,1,75,1,,,
2017年10月17日(火),92631267,あぶり焼きチキン,31,6714,6,,,,2,486,0,,,,3,784,0,1,188,0,4,972,0,2,486,0,5,1160,0,2,486,0,4,752,0,4,886,2,4,514,4,,,,,,,,,
2017年10月19日(木),92631267,あぶり焼きチキン,24,8396,8,,,,,,,1,398,0,,,,1,398,0,4,1592,0,,,,,,,4,1592,0,4,1592,0,3,1114,1,3,954,3,4,756,4,,,,,,
2017年10月20日(金),92631267,あぶり焼きチキン,20,4419,6,,,,,,,,,,3,674,0,2,486,0,3,674,0,1,298,0,,,,2,486,0,2,486,0,4,845,3,3,470,3,,,,,,,,,
2017年10月21日(土),92631267,あぶり焼きチキン,10,2212,4,,,,,,,,,,,,,,,,,,,1,298,0,1,188,0,1,188,0,2,376,0,1,298,0,3,626,3,1,238,1,,,,,,
2017年10月22日(日),92631267,あぶり焼きチキン,30,6854,7,,,,,,,1,298,0,2,486,0,1,298,0,1,188,0,6,1348,0,2,596,0,2,596,0,2,596,0,10,2092,4,1,131,1,2,225,2,,,,,,
2017年10月23日(月),92631267,あぶり焼きチキン,27,6610,9,,,,1,188,0,1,188,0,1,188,0,2,486,0,,,,7,2038,0,2,768,0,1,298,0,3,784,0,3,764,3,2,476,2,2,244,2,2,188,2,,,
2017年10月24日(火),92631267,あぶり焼きチキン,35,9045,15,1,298,0,1,188,0,1,298,0,1,188,0,1,298,0,2,486,0,3,674,0,4,2038,0,1,188,0,4,1254,0,3,1116,2,3,626,3,3,481,3,5,580,5,2,332,2
2017年10月25日(水),92631267,あぶり焼きチキン,51,13474,8,2,830,0,2,376,0,5,1216,0,3,656,0,3,656,0,5,1394,0,4,1568,0,7,2132,0,3,748,0,6,1944,0,4,1064,1,1,224,1,5,572,5,1,94,1,,,
2017年10月26日(木),92631267,あぶり焼きチキン,15,5133,6,,,,,,,,,,1,398,0,2,796,0,,,,1,398,0,2,796,0,2,796,0,1,398,0,,,,1,318,1,5,1233,5,,,,,,
2017年10月27日(金),92631267,あぶり焼きチキン,10,2184,3,,,,,,,,,,2,486,0,1,188,0,2,376,0,,,,,,,1,298,0,1,298,0,,,,2,300,2,1,238,1,,,,,,
2017年10月28日(土),92631267,あぶり焼きチキン,10,2336,1,,,,,,,,,,2,486,0,2,596,0,,,,1,298,0,,,,2,486,0,1,188,0,1,188,0,,,,1,94,1,,,,,,
2017年10月29日(日),92631267,あぶり焼きチキン,23,4709,10,,,,2,596,0,,,,2,596,0,1,188,0,3,784,0,,,,2,486,0,,,,3,784,0,,,,5,750,5,5,525,5,,,,,,
2017年10月30日(月),92631267,あぶり焼きチキン,26,7298,5,,,,2,486,0,,,,2,376,0,,,,3,674,0,5,1834,0,,,,4,862,0,4,1474,0,2,818,1,1,238,1,3,536,3,,,,,,
2017年10月31日(火),92631267,あぶり焼きチキン,19,5264,4,,,,1,188,0,2,486,0,,,,,,,1,188,0,3,784,0,1,188,0,1,298,0,5,1552,0,3,1000,2,,,,2,580,2,,,,,,
2017年11月01日(水),92631267,あぶり焼きチキン,35,8400,13,,,,4,1254,0,3,784,0,3,674,0,,,,2,878,0,1,188,0,5,1270,0,3,784,0,1,188,0,3,450,3,6,1302,6,4,628,4,,,,,,
2017年11月02日(木),92631267,あぶり焼きチキン,2,434,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,434,2,,,,,,,,,,,,
2017年11月03日(金),92631267,あぶり焼きチキン,10,2336,1,,,,,,,,,,,,,1,298,0,5,1270,0,1,188,0,2,486,0,,,,,,,,,,,,,1,94,1,,,,,,
2017年11月04日(土),92631267,あぶり焼きチキン,10,2336,1,,,,,,,,,,1,298,0,,,,,,,,,,2,486,0,2,486,0,4,972,0,,,,,,,,,,1,94,1,,,
2017年11月05日(日),92631267,あぶり焼きチキン,10,2430,0,,,,,,,6,1568,0,,,,2,376,0,,,,1,188,0,1,298,0,,,,,,,,,,,,,,,,,,,,,
2017年11月06日(月),92631267,あぶり焼きチキン,40,9183,15,,,,1,188,0,2,768,0,3,784,0,3,784,0,,,,4,1144,0,1,298,0,4,1082,0,3,674,0,5,1210,1,3,626,3,5,951,5,6,674,6,,,
2017年11月07日(火),92631267,あぶり焼きチキン,27,7800,1,,,,4,1536,0,1,188,0,2,596,0,3,1066,0,1,298,0,2,376,0,2,486,0,5,1270,0,6,1520,0,1,464,1,,,,,,,,,,,,
2017年11月08日(水),92631267,あぶり焼きチキン,10,2092,4,,,,,,,,,,1,298,0,1,188,0,,,,,,,,,,1,298,0,1,298,0,3,636,1,1,150,1,1,149,1,1,75,1,,,
2017年11月22日(水),92631267,あぶり焼きチキン,10,2430,0,,,,,,,,,,,,,2,486,0,,,,2,596,0,2,486,0,,,,4,862,0,,,,,,,,,,,,,,,
2017年11月23日(木),92631267,あぶり焼きチキン,42,12464,2,,,,3,564,0,3,674,0,3,1176,0,6,2070,0,4,1646,0,7,2148,0,5,1270,0,4,1144,0,4,1144,0,2,338,1,,,,1,290,1,,,,,,
2017年11月24日(金),92631267,あぶり焼きチキン,9,2352,0,,,,,,,1,298,0,,,,2,596,0,2,486,0,3,674,0,,,,,,,1,298,0,,,,,,,,,,,,,,,
2017年11月25日(土),92631267,あぶり焼きチキン,39,9906,8,,,,3,1066,0,1,188,0,2,486,0,5,1662,0,4,1254,0,3,674,0,3,1176,0,7,1756,0,3,674,0,,,,3,538,3,2,188,2,3,244,3,,,
